treatment_source_audit_run_id	reference_id	source_kind	source_label	source_url	http_status	saved_snapshot_path	what_it_supports	notes
20260415T233526Z	R1	official_docs	GDC Clinical Data	https://docs.gdc.cancer.gov/Encyclopedia/pages/Clinical_Data/	200		Indexed clinical surface exists, includes model-aligned clinical entities, and may omit additional TCGA clinical detail that remains in supplement files.	Primary documentation for database-aligned clinical data. Page title: Clinical Data - GDC Docs
20260415T233526Z	R2	official_docs	GDC Clinical Supplement	https://docs.gdc.cancer.gov/Encyclopedia/pages/Clinical_Supplement/	200		Clinical Supplement is an official GDC source class.	High-level source-class description. Page title: Clinical Supplement - GDC Docs
20260415T233526Z	R3	official_docs	GDC Biospecimen Data	https://docs.gdc.cancer.gov/Encyclopedia/pages/Biospecimen_Data/	200		Biospecimen information is an official GDC source class.	High-level biospecimen documentation. Page title: Biospecimen Data - GDC Docs
20260415T233526Z	R4	official_docs	GDC Repository Users Guide	https://docs.gdc.cancer.gov/Data_Portal/Users_Guide/Repository/	200		Clinical and Biospecimen TSV/JSON additional data exports are official portal access surfaces.	Additional Data Download section is the key part for indexed clinical/biospecimen exports. Page title: Repository - GDC Docs
20260415T233526Z	R5	official_dictionary	GDC Data Dictionary: clinical_supplement	https://api.gdc.cancer.gov/v0/submission/_dictionary/clinical_supplement	200	01-data/audit/tcga-brca/source/treatment_source_audit_runs/20260415T233526Z/clinical_supplement_dictionary_response.json	Clinical Supplement description and allowed data formats.	Live dictionary endpoint; snapshot saved in the audit run directory.
20260415T233526Z	R6	official_dictionary	GDC Data Dictionary: biospecimen_supplement	https://api.gdc.cancer.gov/v0/submission/_dictionary/biospecimen_supplement	200	01-data/audit/tcga-brca/source/treatment_source_audit_runs/20260415T233526Z/biospecimen_supplement_dictionary_response.json	Biospecimen Supplement description and allowed data formats.	Live dictionary endpoint; snapshot saved in the audit run directory.
20260415T233526Z	R7	official_dictionary	GDC Data Dictionary: treatment	https://api.gdc.cancer.gov/v0/submission/_dictionary/treatment	200	01-data/audit/tcga-brca/source/treatment_source_audit_runs/20260415T233526Z/treatment_dictionary_response.json	Official treatment entity description in the indexed GDC data model.	Live dictionary endpoint; snapshot saved in the audit run directory.
20260415T233526Z	R8	official_dictionary	GDC Data Dictionary: follow_up	https://api.gdc.cancer.gov/v0/submission/_dictionary/follow_up	200	01-data/audit/tcga-brca/source/treatment_source_audit_runs/20260415T233526Z/follow_up_dictionary_response.json	Official follow_up entity description in the indexed GDC data model.	Live dictionary endpoint; snapshot saved in the audit run directory.
20260415T233526Z	R9	official_api	GDC Files API	https://api.gdc.cancer.gov/files	200	01-data/audit/tcga-brca/source/treatment_source_audit_runs/20260415T233526Z/files_clinical_category_response.json	Live TCGA-BRCA file-layer counts for Clinical Supplement, Biospecimen Supplement, Pathology Report, and clinical/biospecimen category discovery.	Exact filtered request params and responses are saved in the audit run directory.
20260415T233526Z	R10	official_api	GDC Cases API	https://api.gdc.cancer.gov/cases	200	01-data/audit/tcga-brca/source/treatment_source_audit_runs/20260415T233526Z/cases_treatment_facets_response.json	Live TCGA-BRCA case count plus indexed diagnoses.treatments and follow_ups availability.	Exact filtered request params and responses are saved in the audit run directory.
20260415T233526Z	R11	official_api	GDC API Status	https://api.gdc.cancer.gov/status	200	01-data/audit/tcga-brca/source/treatment_source_audit_runs/20260415T233526Z/gdc_status_response.json	Current GDC data release and tag used for the live reconciliation target.	Snapshot saved in the audit run directory.
