blueprint_run_id	step_order	left_node	right_node	left_table_name	right_table_name	left_field_name	right_field_name	join_keys_or_evidence	join_strength	link_timing	rationale	ambiguity_flag	notes_placeholder
20260413T081835Z	1	patient/case	clinical_patient		clinical_patient	case_identifier	bcr_patient_barcode / bcr_patient_uuid	clinical_patient carries both audited case identifiers with 1097 non-missing values each in the core audit.	strong_current_evidence	link_now	Use clinical_patient as the central case-level baseline table for the first blueprint.	False	[fill in during cohort blueprint review]
20260413T081835Z	2	patient/case	clinical_drug	clinical_patient	clinical_drug	bcr_patient_barcode / bcr_patient_uuid	bcr_patient_barcode / bcr_patient_uuid	clinical_drug contains repeated patient identifiers but remains one-to-many with 2406 rows over 780 distinct patients.	workable_but_needs_review	link_later	Treatment rows can be attached later as optional treatment-proxy evidence, not as required baseline rows.	True	[fill in during cohort blueprint review]
20260413T081835Z	3	patient/case	clinical_radiation	clinical_patient	clinical_radiation	bcr_patient_barcode / bcr_patient_uuid	bcr_patient_barcode / bcr_patient_uuid	clinical_radiation contains repeated patient identifiers but remains one-to-many with 618 rows over 528 distinct patients.	workable_but_needs_review	link_later	Radiation rows should remain optional treatment-proxy attachments instead of required first-baseline rows.	True	[fill in during cohort blueprint review]
20260413T081835Z	4	patient/case	clinical_patient endpoint-like fields	clinical_patient	clinical_patient	bcr_patient_barcode / bcr_patient_uuid	vital_status / last_contact_days_to / tumor_status / new_tumor_event_dx_indicator	clinical_patient endpoint-like fields already sit on the case table; vital_status has 1097 non-missing rows.	strong_current_evidence	prepare_only	Patient-table endpoint candidates can be carried as case-level preparation fields without creating a final endpoint.	False	[fill in during cohort blueprint review]
20260413T081835Z	5	patient/case	clinical_follow_up_v4_0 endpoint-like fields	clinical_patient	clinical_follow_up_v4_0	bcr_patient_barcode / bcr_patient_uuid	bcr_patient_barcode / bcr_patient_uuid	follow-up endpoint-like fields reuse patient identifiers, but overlap with patient-table signals; follow-up vital_status has 706 non-missing rows and last_contact_days_to has 654.	workable_but_needs_review	prepare_only	Follow-up endpoint candidates are usable for later reconciliation but should not be treated as automatically equivalent to patient-table fields.	True	[fill in during cohort blueprint review]
20260413T081835Z	6	patient/case	biospecimen_sample	clinical_patient	biospecimen_sample	bcr_patient_uuid / bcr_patient_barcode	bcr_patient_uuid / bcr_sample_barcode / bcr_sample_uuid	biospecimen_sample provides the main specimen anchor, but the saved evidence is stronger inside the biospecimen chain than across clinical-to-biospecimen reconciliation.	workable_but_needs_review	link_now	The blueprint can anchor on biospecimen_sample now while preserving cross-layer patient identifier review for later cohort construction.	True	[fill in during cohort blueprint review]
20260413T081835Z	7	sample	portion	biospecimen_sample	biospecimen_portion	bcr_sample_barcode / bcr_sample_uuid	bcr_sample_barcode / bcr_portion_barcode / bcr_portion_uuid	biospecimen_portion repeats bcr_sample_barcode with barcode-prefix evidence to portion barcode at 1.0.	strong_current_evidence	link_later	Sample-to-portion is the strongest saved child-layer handoff and can be retained for later expansion.	False	[fill in during cohort blueprint review]
20260413T081835Z	8	portion	analyte	biospecimen_portion	biospecimen_analyte	bcr_portion_barcode / bcr_portion_uuid	bcr_analyte_barcode / bcr_analyte_uuid / subportion_sequence	analyte rows retain sample barcode plus subportion_sequence, but no direct saved portion barcode appears in biospecimen_analyte.	workable_but_needs_review	link_later	Portion-to-analyte looks workable but still needs careful review because the saved bridge is indirect.	True	[fill in during cohort blueprint review]
20260413T081835Z	9	analyte	slide	biospecimen_analyte	biospecimen_slide	bcr_analyte_barcode / bcr_analyte_uuid	bcr_slide_barcode / bcr_slide_uuid / bcr_sample_barcode	No direct saved analyte identifier appears in biospecimen_slide; slide rows carry sample barcode and slide ids only.	deferred	link_later	An analyte-to-slide step should remain deferred until stronger saved linkage evidence is reviewed.	True	[fill in during cohort blueprint review]
20260413T081835Z	10	analyte	aliquot	biospecimen_analyte	biospecimen_aliquot	bcr_analyte_barcode / bcr_analyte_uuid	bcr_aliquot_barcode / bcr_aliquot_uuid / bcr_sample_barcode	No direct saved analyte identifier appears in biospecimen_aliquot; aliquot rows carry sample barcode and aliquot ids only.	deferred	link_later	An analyte-to-aliquot step should remain deferred until a stronger saved bridge is available.	True	[fill in during cohort blueprint review]
20260413T081835Z	11	sample/analyte	protocol	biospecimen_sample / biospecimen_analyte	biospecimen_protocol	bcr_sample_barcode / bcr_analyte_barcode	bcr_sample_barcode / bcr_analyte_barcode	biospecimen_protocol carries both sample and analyte side-table candidates; protocol analyte barcode shows barcode-prefix evidence at 0.999367.	workable_but_needs_review	link_later	Protocol remains a side-link layer that looks usable later but should not be mandatory for the first baseline cohort.	True	[fill in during cohort blueprint review]
20260413T081835Z	12	sample/portion	shipment_portion	biospecimen_sample / biospecimen_portion	biospecimen_shipment_portion	bcr_sample_barcode / portion_number / portion_sequence	bcr_shipment_portion_uuid / bcr_sample_barcode / portion_number / portion_sequence	shipment_portion retains sample barcode plus portion helper fields and a side-table portion UUID with 1.0 same-row evidence.	workable_but_needs_review	link_later	Shipment data can support later specimen-tracking review but is not required for the first baseline blueprint.	True	[fill in during cohort blueprint review]
20260413T081835Z	13	sample/slide	diagnostic_slides	biospecimen_sample / biospecimen_slide	biospecimen_diagnostic_slides	bcr_sample_barcode / bcr_slide_barcode	bcr_sample_barcode / ffpe_slide_uuid / bcr_patient_barcode	diagnostic_slides provides sample and patient barcode evidence plus ffpe_slide_uuid as a side-table slide key with 1.0 saved evidence.	deferred	link_later	Diagnostic slide linkage should remain deferred because its saved linkage is side-table evidence rather than part of the required first-baseline backbone.	True	[fill in during cohort blueprint review]
