blueprint_run_id	field_bucket	source_layer	table_name	field_name	proposed_role	rationale	dependency_for_join	ambiguity_flag	notes_placeholder	upstream_source_type	upstream_bucket_or_role	upstream_rule	manual_review_priority	missing_like_fraction	non_missing_count	distinct_non_missing_count	paired_field_name	evidence_rule	evidence_rate
20260413T081835Z	optional_for_first_baseline	clinical	clinical_drug	bcr_patient_barcode	case_join_identifier	Keep the audited patient and follow-up identifiers needed to attach optional treatment and endpoint-preparation layers later.	case_to_treatment_optional_link	False	[fill in during cohort blueprint review]	clinical_core_field_audit	manual_blueprint_join_support	cohort_blueprint_optional_join_identifier		0.0	2406	780			
20260413T081835Z	optional_for_first_baseline	clinical	clinical_drug	bcr_patient_uuid	case_join_identifier	Keep the audited patient and follow-up identifiers needed to attach optional treatment and endpoint-preparation layers later.	case_to_treatment_optional_link	False	[fill in during cohort blueprint review]	clinical_core_field_audit	manual_blueprint_join_support	cohort_blueprint_optional_join_identifier		0.0	2406	780			
20260413T081835Z	optional_for_first_baseline	clinical	clinical_drug	pharmaceutical_therapy_drug_name	treatment_proxy_field	Preserve audited treatment-proxy fields as optional first-study context without turning them into harmonized exposure variables.	optional_case_level_treatment_proxy	True	[fill in during cohort blueprint review]	clinical_shortlist	usable_treatment_proxy	treatment_proxy_direct_treatment_table	medium	0.00665	2390	203			
20260413T081835Z	optional_for_first_baseline	clinical	clinical_drug	pharmaceutical_therapy_type	treatment_proxy_field	Preserve audited treatment-proxy fields as optional first-study context without turning them into harmonized exposure variables.	optional_case_level_treatment_proxy	True	[fill in during cohort blueprint review]	clinical_shortlist	usable_treatment_proxy	treatment_proxy_direct_treatment_table	medium	0.002909	2399	8			
20260413T081835Z	optional_for_first_baseline	clinical	clinical_drug	pharmaceutical_tx_ended_days_to	treatment_proxy_field	Preserve audited treatment-proxy fields as optional first-study context without turning them into harmonized exposure variables.	optional_case_level_treatment_proxy	True	[fill in during cohort blueprint review]	clinical_shortlist	usable_treatment_proxy	treatment_proxy_direct_treatment_table	medium	0.249792	1805	504			
20260413T081835Z	optional_for_first_baseline	clinical	clinical_drug	pharmaceutical_tx_ongoing_indicator	treatment_proxy_field	Preserve audited treatment-proxy fields as optional first-study context without turning them into harmonized exposure variables.	optional_case_level_treatment_proxy	True	[fill in during cohort blueprint review]	clinical_shortlist	usable_treatment_proxy	treatment_proxy_direct_treatment_table	medium	0.006234	2391	2			
20260413T081835Z	optional_for_first_baseline	clinical	clinical_drug	pharmaceutical_tx_started_days_to	treatment_proxy_field	Preserve audited treatment-proxy fields as optional first-study context without turning them into harmonized exposure variables.	optional_case_level_treatment_proxy	True	[fill in during cohort blueprint review]	clinical_shortlist	usable_treatment_proxy	treatment_proxy_direct_treatment_table	medium	0.049044	2288	486			
20260413T081835Z	optional_for_first_baseline	clinical	clinical_follow_up_v4_0	bcr_followup_barcode	followup_join_identifier	Keep the audited patient and follow-up identifiers needed to attach optional treatment and endpoint-preparation layers later.	case_to_followup_or_case_to_treatment_optional_link	True	[fill in during cohort blueprint review]	clinical_core_field_audit	manual_blueprint_join_support	cohort_blueprint_optional_join_identifier		0.0	716	716			
20260413T081835Z	optional_for_first_baseline	clinical	clinical_follow_up_v4_0	bcr_followup_uuid	followup_join_identifier	Keep the audited patient and follow-up identifiers needed to attach optional treatment and endpoint-preparation layers later.	case_to_followup_or_case_to_treatment_optional_link	True	[fill in during cohort blueprint review]	clinical_core_field_audit	manual_blueprint_join_support	cohort_blueprint_optional_join_identifier		0.0	716	716			
20260413T081835Z	optional_for_first_baseline	clinical	clinical_follow_up_v4_0	bcr_patient_barcode	followup_join_identifier	Keep the audited patient and follow-up identifiers needed to attach optional treatment and endpoint-preparation layers later.	case_to_followup_or_case_to_treatment_optional_link	True	[fill in during cohort blueprint review]	clinical_core_field_audit	manual_blueprint_join_support	cohort_blueprint_optional_join_identifier		0.0	716	619			
