blueprint_run_id	field_bucket	source_layer	table_name	field_name	proposed_role	rationale	dependency_for_join	ambiguity_flag	notes_placeholder	upstream_source_type	upstream_bucket_or_role	upstream_rule	manual_review_priority	missing_like_fraction	non_missing_count	distinct_non_missing_count	paired_field_name	evidence_rule	evidence_rate
20260413T081835Z	required_for_first_baseline	clinical	clinical_patient	age_at_diagnosis	baseline_covariate	Carry forward audited usable baseline fields as required case-level inputs for the first TCGA-only baseline study blueprint.	case_level_baseline_core	False	[fill in during cohort blueprint review]	clinical_shortlist	usable_baseline	baseline_candidate_structured_core_field	low	0.0	1097	65			
20260413T081835Z	required_for_first_baseline	clinical	clinical_patient	ajcc_metastasis_pathologic_pm	baseline_covariate	Carry forward audited usable baseline fields as required case-level inputs for the first TCGA-only baseline study blueprint.	case_level_baseline_core	False	[fill in during cohort blueprint review]	clinical_shortlist	usable_baseline	baseline_candidate_structured_core_field	low	0.0	1097	4			
20260413T081835Z	required_for_first_baseline	clinical	clinical_patient	ajcc_nodes_pathologic_pn	baseline_covariate	Carry forward audited usable baseline fields as required case-level inputs for the first TCGA-only baseline study blueprint.	case_level_baseline_core	False	[fill in during cohort blueprint review]	clinical_shortlist	usable_baseline	baseline_candidate_structured_core_field	low	0.0	1097	16			
20260413T081835Z	required_for_first_baseline	clinical	clinical_patient	ajcc_pathologic_tumor_stage	baseline_covariate	Carry forward audited usable baseline fields as required case-level inputs for the first TCGA-only baseline study blueprint.	case_level_baseline_core	False	[fill in during cohort blueprint review]	clinical_shortlist	usable_baseline	baseline_candidate_structured_core_field	low	0.010027	1086	12			
20260413T081835Z	required_for_first_baseline	clinical	clinical_patient	ajcc_staging_edition	baseline_covariate	Carry forward audited usable baseline fields as required case-level inputs for the first TCGA-only baseline study blueprint.	case_level_baseline_core	False	[fill in during cohort blueprint review]	clinical_shortlist	usable_baseline	baseline_candidate_structured_core_field	medium	0.128532	956	5			
20260413T081835Z	required_for_first_baseline	clinical	clinical_patient	ajcc_tumor_pathologic_pt	baseline_covariate	Carry forward audited usable baseline fields as required case-level inputs for the first TCGA-only baseline study blueprint.	case_level_baseline_core	False	[fill in during cohort blueprint review]	clinical_shortlist	usable_baseline	baseline_candidate_structured_core_field	low	0.0	1097	13			
20260413T081835Z	required_for_first_baseline	clinical	clinical_patient	anatomic_neoplasm_subdivision	baseline_covariate	Carry forward audited usable baseline fields as required case-level inputs for the first TCGA-only baseline study blueprint.	case_level_baseline_core	False	[fill in during cohort blueprint review]	clinical_shortlist	usable_baseline	baseline_candidate_structured_core_field	low	0.0	1097	53			
20260413T081835Z	required_for_first_baseline	clinical	clinical_patient	axillary_staging_method	baseline_covariate	Carry forward audited usable baseline fields as required case-level inputs for the first TCGA-only baseline study blueprint.	case_level_baseline_core	False	[fill in during cohort blueprint review]	clinical_shortlist	usable_baseline	baseline_candidate_structured_core_field	medium	0.196901	881	5			
20260413T081835Z	required_for_first_baseline	clinical	clinical_patient	bcr_patient_barcode	case_join_identifier	Retain both audited clinical patient identifiers as the case backbone for the first baseline blueprint.	case_to_clinical_and_case_to_followup_preparation	False	[fill in during cohort blueprint review]	clinical_core_field_audit	manual_blueprint_backbone	cohort_blueprint_required_case_identifier		0.0	1097	1097			
20260413T081835Z	required_for_first_baseline	clinical	clinical_patient	bcr_patient_uuid	case_join_identifier	Retain both audited clinical patient identifiers as the case backbone for the first baseline blueprint.	case_to_clinical_and_case_to_followup_preparation	False	[fill in during cohort blueprint review]	clinical_core_field_audit	manual_blueprint_backbone	cohort_blueprint_required_case_identifier		0.0	1097	1097			
