crosswalk_run_id	parse_run_id	source_run_id	identifier_linkage_family	table_name	field_name	source_position	probable_identifier_level	identifier_token_family	candidate_source	missing_like_fraction	non_missing_count	distinct_non_missing_count	example_values_small_sample	crosswalk_role	crosswalk_rule	manual_review_priority	notes_placeholder	matched_identifier_tokens_json	alternate_column_name	cde_id_raw	paired_field_name	pattern_rule	pattern_comparable_row_count	pattern_pass_fraction	pattern_nonmatch_examples_json
20260413T073640Z	20260413T070359Z	20260412T000556Z	patient_identifier_like	biospecimen_sample	bcr_patient_uuid	1	patient	uuid	field_name_level_and_identifier_token_match	0.0	2302	1101	"[""eda6d2d5-4199-4f76-a45b-1d0401b4e54c"", ""4510295e-8aa7-4ef1-b2b7-91cc902f8200"", ""51ccbf1b-7cae-44ba-991a-11eda8b8c404"", ""8986a141-eae7-4157-b695-02cc6fc3b071"", ""a1093598-d3a8-4ffe-83fc-bc7d1faff7e5""]"	primary_link_candidate	role_primary_patient_best_uuid_candidate	low	[fill in during biospecimen identifier crosswalk review]	"[""patient"", ""uuid""]"			bcr_sample_barcode	same_row_copresence_only	2302	1.0	[]
20260413T073640Z	20260413T070359Z	20260412T000556Z	patient_identifier_like	biospecimen_diagnostic_slides	bcr_patient_barcode	2	patient	barcode	field_name_level_and_identifier_token_match	0.0	1142	1071	"[""TCGA-AR-A1AR"", ""TCGA-BH-A1EO"", ""TCGA-BH-A1ES"", ""TCGA-BH-A1ET"", ""TCGA-BH-A1EU""]"	primary_link_candidate	role_primary_patient_best_barcode_candidate	medium	[fill in during biospecimen identifier crosswalk review]	"[""patient"", ""barcode""]"		CDE_ID:2673794	bcr_patient_uuid	exact_pair_one_to_one_same_table	1142	1.0	[]
20260413T073640Z	20260413T070359Z	20260412T000556Z	patient_identifier_like	biospecimen_portion	bcr_patient_uuid	1	patient	uuid	field_name_level_and_identifier_token_match	0.0	2310	1101	"[""eda6d2d5-4199-4f76-a45b-1d0401b4e54c"", ""4510295e-8aa7-4ef1-b2b7-91cc902f8200"", ""51ccbf1b-7cae-44ba-991a-11eda8b8c404"", ""8986a141-eae7-4157-b695-02cc6fc3b071"", ""a1093598-d3a8-4ffe-83fc-bc7d1faff7e5""]"	overlapping_link_candidate	role_overlapping_repeated_strong_identifier	medium	[fill in during biospecimen identifier crosswalk review]	"[""patient"", ""uuid""]"			bcr_sample_barcode	same_row_copresence_only	2310	1.0	[]
20260413T073640Z	20260413T070359Z	20260412T000556Z	patient_identifier_like	biospecimen_analyte	bcr_patient_uuid	1	patient	uuid	field_name_level_and_identifier_token_match	0.0	6315	1101	"[""eda6d2d5-4199-4f76-a45b-1d0401b4e54c"", ""4510295e-8aa7-4ef1-b2b7-91cc902f8200"", ""51ccbf1b-7cae-44ba-991a-11eda8b8c404"", ""8986a141-eae7-4157-b695-02cc6fc3b071"", ""a1093598-d3a8-4ffe-83fc-bc7d1faff7e5""]"	overlapping_link_candidate	role_overlapping_repeated_strong_identifier	medium	[fill in during biospecimen identifier crosswalk review]	"[""patient"", ""uuid""]"			bcr_sample_barcode	same_row_copresence_only	6315	1.0	[]
20260413T073640Z	20260413T070359Z	20260412T000556Z	patient_identifier_like	biospecimen_slide	bcr_patient_uuid	1	patient	uuid	field_name_level_and_identifier_token_match	0.0	1995	1101	"[""eda6d2d5-4199-4f76-a45b-1d0401b4e54c"", ""4510295e-8aa7-4ef1-b2b7-91cc902f8200"", ""51ccbf1b-7cae-44ba-991a-11eda8b8c404"", ""8986a141-eae7-4157-b695-02cc6fc3b071"", ""a1093598-d3a8-4ffe-83fc-bc7d1faff7e5""]"	overlapping_link_candidate	role_overlapping_repeated_strong_identifier	medium	[fill in during biospecimen identifier crosswalk review]	"[""patient"", ""uuid""]"			bcr_sample_barcode	same_row_copresence_only	1995	1.0	[]
20260413T073640Z	20260413T070359Z	20260412T000556Z	patient_identifier_like	biospecimen_aliquot	bcr_patient_uuid	1	patient	uuid	field_name_level_and_identifier_token_match	0.0	14538	1101	"[""eda6d2d5-4199-4f76-a45b-1d0401b4e54c"", ""4510295e-8aa7-4ef1-b2b7-91cc902f8200"", ""51ccbf1b-7cae-44ba-991a-11eda8b8c404"", ""8986a141-eae7-4157-b695-02cc6fc3b071"", ""a1093598-d3a8-4ffe-83fc-bc7d1faff7e5""]"	overlapping_link_candidate	role_overlapping_repeated_strong_identifier	medium	[fill in during biospecimen identifier crosswalk review]	"[""patient"", ""uuid""]"			bcr_sample_barcode	same_row_copresence_only	14538	1.0	[]
20260413T073640Z	20260413T070359Z	20260412T000556Z	patient_identifier_like	biospecimen_protocol	bcr_patient_uuid	1	patient	uuid	field_name_level_and_identifier_token_match	0.0	6315	1101	"[""eda6d2d5-4199-4f76-a45b-1d0401b4e54c"", ""4510295e-8aa7-4ef1-b2b7-91cc902f8200"", ""51ccbf1b-7cae-44ba-991a-11eda8b8c404"", ""8986a141-eae7-4157-b695-02cc6fc3b071"", ""a1093598-d3a8-4ffe-83fc-bc7d1faff7e5""]"	side_table_candidate	role_side_table_strong_identifier	medium	[fill in during biospecimen identifier crosswalk review]	"[""patient"", ""uuid""]"			bcr_sample_barcode	same_row_copresence_only	6315	1.0	[]
20260413T073640Z	20260413T070359Z	20260412T000556Z	patient_identifier_like	biospecimen_shipment_portion	bcr_patient_uuid	1	patient	uuid	field_name_level_and_identifier_token_match	0.0	1064	887	"[""4510295e-8aa7-4ef1-b2b7-91cc902f8200"", ""51ccbf1b-7cae-44ba-991a-11eda8b8c404"", ""8986a141-eae7-4157-b695-02cc6fc3b071"", ""a1093598-d3a8-4ffe-83fc-bc7d1faff7e5"", ""417dea5f-f68e-4dab-940e-43ae8c67e5e6""]"	side_table_candidate	role_side_table_strong_identifier	medium	[fill in during biospecimen identifier crosswalk review]	"[""patient"", ""uuid""]"			bcr_sample_barcode	same_row_copresence_only	1064	1.0	[]
20260413T073640Z	20260413T070359Z	20260412T000556Z	patient_identifier_like	biospecimen_diagnostic_slides	bcr_patient_uuid	1	patient	uuid	field_name_level_and_identifier_token_match	0.0	1142	1071	"[""eda6d2d5-4199-4f76-a45b-1d0401b4e54c"", ""4510295e-8aa7-4ef1-b2b7-91cc902f8200"", ""51ccbf1b-7cae-44ba-991a-11eda8b8c404"", ""8986a141-eae7-4157-b695-02cc6fc3b071"", ""a1093598-d3a8-4ffe-83fc-bc7d1faff7e5""]"	side_table_candidate	role_side_table_strong_identifier	medium	[fill in during biospecimen identifier crosswalk review]	"[""patient"", ""uuid""]"			bcr_patient_barcode	exact_pair_one_to_one_same_table	1142	1.0	[]
20260413T073640Z	20260413T070359Z	20260412T000556Z	sample_identifier_like	biospecimen_sample	bcr_sample_barcode	2	sample	barcode	field_name_level_and_identifier_token_match	0.0	2302	2302	"[""TCGA-AR-A1AR-01A"", ""TCGA-AR-A1AR-10A"", ""TCGA-BH-A1EO-01A"", ""TCGA-BH-A1EO-11A"", ""TCGA-BH-A1ES-01A""]"	primary_link_candidate	role_primary_canonical_level_identifier	low	[fill in during biospecimen identifier crosswalk review]	"[""sample"", ""barcode""]"			bcr_sample_uuid	exact_pair_one_to_one_same_table	2302	1.0	[]
20260413T073640Z	20260413T070359Z	20260412T000556Z	sample_identifier_like	biospecimen_sample	bcr_sample_uuid	3	sample	uuid	field_name_level_and_identifier_token_match	0.0	2302	2302	"[""5fa9998b-deff-493e-8a8e-dc2422192a48"", ""c1e5beaa-6103-409d-bdd4-a86c0f210014"", ""9d501ca9-f50d-45fc-bcc3-fee15f9771cd"", ""fff3e5a3-4b84-4afa-bdb5-1c6b2a6626bc"", ""aa1037f4-1414-4e05-b11a-c558a23b7e62""]"	primary_link_candidate	role_primary_canonical_level_identifier	low	[fill in during biospecimen identifier crosswalk review]	"[""sample"", ""uuid""]"			bcr_sample_barcode	exact_pair_one_to_one_same_table	2302	1.0	[]
20260413T073640Z	20260413T070359Z	20260412T000556Z	sample_identifier_like	biospecimen_portion	bcr_sample_barcode	2	sample	barcode	field_name_level_and_identifier_token_match	0.0	2310	2300	"[""TCGA-AR-A1AR-01A"", ""TCGA-AR-A1AR-10A"", ""TCGA-BH-A1EO-01A"", ""TCGA-BH-A1EO-11A"", ""TCGA-BH-A1ES-01A""]"	overlapping_link_candidate	role_overlapping_repeated_strong_identifier	medium	[fill in during biospecimen identifier crosswalk review]	"[""sample"", ""barcode""]"			bcr_portion_barcode	barcode_prefix_same_row	2310	1.0	[]
20260413T073640Z	20260413T070359Z	20260412T000556Z	sample_identifier_like	biospecimen_analyte	bcr_sample_barcode	2	sample	barcode	field_name_level_and_identifier_token_match	0.0	6315	2300	"[""TCGA-AR-A1AR-01A"", ""TCGA-AR-A1AR-10A"", ""TCGA-BH-A1EO-01A"", ""TCGA-BH-A1EO-11A"", ""TCGA-BH-A1ES-01A""]"	overlapping_link_candidate	role_overlapping_repeated_strong_identifier	medium	[fill in during biospecimen identifier crosswalk review]	"[""sample"", ""barcode""]"			bcr_analyte_barcode	barcode_prefix_same_row	6315	0.999367	"[{""prefix_value"": ""TCGA-E2-A2P5-10A"", ""child_value"": ""TCGA-E2-A2P5-10B-01D""}, {""prefix_value"": ""TCGA-E2-A2P5-10A"", ""child_value"": ""TCGA-E2-A2P5-10B-01W""}, {""prefix_value"": ""TCGA-E2-A2P6-10A"", ""child_value"": ""TCGA-E2-A2P6-10B-01D""}, {""prefix_value"": ""TCGA-E2-A2P6-10A"", ""child_value"": ""TCGA-E2-A2P6-10B-01W""}]"
20260413T073640Z	20260413T070359Z	20260412T000556Z	sample_identifier_like	biospecimen_slide	bcr_sample_barcode	2	sample	barcode	field_name_level_and_identifier_token_match	0.0	1995	1283	"[""TCGA-AR-A1AR-01A"", ""TCGA-BH-A1EO-01A"", ""TCGA-BH-A1EO-11A"", ""TCGA-BH-A1ES-01A"", ""TCGA-BH-A1ES-06A""]"	overlapping_link_candidate	role_overlapping_repeated_strong_identifier	medium	[fill in during biospecimen identifier crosswalk review]	"[""sample"", ""barcode""]"			bcr_slide_barcode	barcode_prefix_same_row	1995	0.991479	"[{""prefix_value"": ""TCGA-BH-A1ET-11B"", ""child_value"": ""TCGA-BH-A1ET-11A-01-TSA""}, {""prefix_value"": ""TCGA-BH-A1ET-11B"", ""child_value"": ""TCGA-BH-A1ET-11A-02-TSB""}, {""prefix_value"": ""TCGA-BH-A1EW-11B"", ""child_value"": ""TCGA-BH-A1EW-11A-01-TSA""}, {""prefix_value"": ""TCGA-BH-A1EW-11B"", ""child_value"": ""TCGA-BH-A1EW-11A-02-TSB""}, {""prefix_value"": ""TCGA-BH-A1F0-11B"", ""child_value"": ""TCGA-BH-A1F0-11A-01-TSA""}]"
