drug_class_profile_v1_run_id	candidate_label	candidate_type	patient_count	os_event_count	manual_review_count	unknown_mapping_burden	multi_class_burden	confounder_coverage_ok	arm_freeze_candidate_status	why_candidate_or_not	recommended_next_handling	notes
20260415T065150Z	single_known_class_clean_all	bucket	179	10	0	0.0000	0.0000	yes	promising	Single confirmed drug class, no manual-review flags. n=179. Cleanest bucket by definition.	Assess for arm-freeze after resolving dominant class distribution within bucket.	
20260415T065150Z	dominant_class_alkylating_agent	dominant_class	1	0	0	0.0000	0.0000	yes	not_recommended	dominant_provisional_drug_class_if_any == 'alkylating_agent' for 1 treated patients. Below size threshold (50).	Too small for arm-freeze review at current size; consider aggregating with related class.	
20260415T065150Z	dominant_class_taxane	dominant_class	2	0	0	0.0000	0.0000	no	not_recommended	dominant_provisional_drug_class_if_any == 'taxane' for 2 treated patients. Below size threshold (50).	Too small for arm-freeze review at current size; consider aggregating with related class.	
20260415T065150Z	dominant_class_antimetabolite	dominant_class	1	1	0	0.0000	0.0000	yes	not_recommended	dominant_provisional_drug_class_if_any == 'antimetabolite' for 1 treated patients. Below size threshold (50).	Too small for arm-freeze review at current size; consider aggregating with related class.	
20260415T065150Z	dominant_class_endocrine_serm	dominant_class	61	5	0	0.0000	0.0000	no	needs_review	dominant_provisional_drug_class_if_any == 'endocrine_serm' for 61 treated patients. Above size threshold.	Assess for arm-freeze after manual-review resolution.	
20260415T065150Z	dominant_class_endocrine_aromatase_inhibitor	dominant_class	113	4	4	0.0354	0.0000	yes	promising	dominant_provisional_drug_class_if_any == 'endocrine_aromatase_inhibitor' for 113 treated patients. Above size threshold.	Promising dominant-class subset; review for arm freeze.	
20260415T065150Z	dominant_class_endocrine_other	dominant_class	1	0	0	0.0000	0.0000	yes	not_recommended	dominant_provisional_drug_class_if_any == 'endocrine_other' for 1 treated patients. Below size threshold (50).	Too small for arm-freeze review at current size; consider aggregating with related class.	
20260415T065150Z	dominant_class_her2_targeted	dominant_class	3	0	0	0.0000	0.0000	yes	not_recommended	dominant_provisional_drug_class_if_any == 'her2_targeted' for 3 treated patients. Below size threshold (50).	Too small for arm-freeze review at current size; consider aggregating with related class.	
20260415T065150Z	dominant_class_immunotherapy	dominant_class	1	0	1	1.0000	0.0000	yes	not_recommended	dominant_provisional_drug_class_if_any == 'immunotherapy' for 1 treated patients. Below size threshold (50).	Too small for arm-freeze review at current size; consider aggregating with related class.	
20260415T065150Z	dominant_class_ancillary_supportive	dominant_class	1	0	0	0.0000	0.0000	yes	not_recommended	dominant_provisional_drug_class_if_any == 'ancillary_supportive' for 1 treated patients. Below size threshold (50).	Too small for arm-freeze review at current size; consider aggregating with related class.	
20260415T065150Z	clean_bucket_x_dominant_alkylating_agent	bucket_x_dominant_class	1	0	0	0.0000	0.0000	yes	not_recommended	single_known_class_clean patients where dominant class == 'alkylating_agent'. n=1. Cleanest possible subset for this class.	Too small for independent arm-freeze review; may support pooled analysis.	
20260415T065150Z	clean_bucket_x_dominant_taxane	bucket_x_dominant_class	2	0	0	0.0000	0.0000	no	not_recommended	single_known_class_clean patients where dominant class == 'taxane'. n=2. Cleanest possible subset for this class.	Too small for independent arm-freeze review; may support pooled analysis.	
20260415T065150Z	clean_bucket_x_dominant_antimetabolite	bucket_x_dominant_class	1	1	0	0.0000	0.0000	yes	not_recommended	single_known_class_clean patients where dominant class == 'antimetabolite'. n=1. Cleanest possible subset for this class.	Too small for independent arm-freeze review; may support pooled analysis.	
20260415T065150Z	clean_bucket_x_dominant_endocrine_serm	bucket_x_dominant_class	61	5	0	0.0000	0.0000	no	needs_review	single_known_class_clean patients where dominant class == 'endocrine_serm'. n=61. Cleanest possible subset for this class.	Strong candidate for arm-freeze review if n >= threshold and OS events adequate.	
20260415T065150Z	clean_bucket_x_dominant_endocrine_aromatase_inhibitor	bucket_x_dominant_class	109	4	0	0.0000	0.0000	yes	promising	single_known_class_clean patients where dominant class == 'endocrine_aromatase_inhibitor'. n=109. Cleanest possible subset for this class.	Strong candidate for arm-freeze review if n >= threshold and OS events adequate.	
20260415T065150Z	clean_bucket_x_dominant_endocrine_other	bucket_x_dominant_class	1	0	0	0.0000	0.0000	yes	not_recommended	single_known_class_clean patients where dominant class == 'endocrine_other'. n=1. Cleanest possible subset for this class.	Too small for independent arm-freeze review; may support pooled analysis.	
20260415T065150Z	clean_bucket_x_dominant_her2_targeted	bucket_x_dominant_class	3	0	0	0.0000	0.0000	yes	not_recommended	single_known_class_clean patients where dominant class == 'her2_targeted'. n=3. Cleanest possible subset for this class.	Too small for independent arm-freeze review; may support pooled analysis.	
20260415T065150Z	clean_bucket_x_dominant_ancillary_supportive	bucket_x_dominant_class	1	0	0	0.0000	0.0000	yes	not_recommended	single_known_class_clean patients where dominant class == 'ancillary_supportive'. n=1. Cleanest possible subset for this class.	Too small for independent arm-freeze review; may support pooled analysis.	
